Student_Name,Study_Method,Test_Score
John Harrington,Group Study,74
Terri Owens,Tutoring,71
Heidi Williams,ChatGPT,91
Jordan Oconnor,Group Study,70
Michael Griffith,ChatGPT,74
Megan Sullivan,Group Study,69
Regina Stark,Self-Study,91
Sergio Ross,Tutoring,83
Kevin James,ChatGPT,71
Joseph Molina,ChatGPT,88
Charles Soto,Group Study,68
Suzanne Holland,Self-Study,70
Garrett Johnson,ChatGPT,84
Melissa Morris,ChatGPT,100
Caleb Goodman,Self-Study,65
Scott Smith,Tutoring,84
Mrs. Stephanie Burgess,ChatGPT,66
Brandon Flynn,Self-Study,68
Alexandria Suarez,Group Study,79
Natalie Stout,Tutoring,55
Kelly Barnes DDS,Group Study,77
Louis Peck,Tutoring,89
James Ortega,Group Study,72
Marvin Foley,Tutoring,80
Ashlee Morales,Self-Study,66
Lisa Kim,Group Study,77
Cameron Skinner,ChatGPT,81
Felicia Russo,Self-Study,65
Samantha Davis,Group Study,73
Ryan Ward,Self-Study,76
Gary Brooks,Tutoring,79
Christopher Shannon,Tutoring,63
Stephanie Chaney,Group Study,70
Jacob Herrera,Tutoring,85
Joshua Jordan,Self-Study,71
Linda Johnson,ChatGPT,63
Barbara Russell,Group Study,89
Anthony Johnson,ChatGPT,70
Louis Taylor MD,Group Study,65
Lauren Velasquez,Tutoring,82
Adam Palmer,Group Study,93
Jacob Miller,Tutoring,69
Justin Mcdonald,Tutoring,73
Amy Edwards,ChatGPT,64
Stacy Franklin,Self-Study,60
Erica Humphrey,Group Study,84
Christine Cortez,Group Study,78
Micheal Anderson,Group Study,76
Justin Waters,Tutoring,60
Brian Foster,Self-Study,78
Joseph Ortiz,Self-Study,99
Amy Lynch,Group Study,82
Andrew Moore,ChatGPT,76
Margaret Lucero,Tutoring,70
Charles Reyes,ChatGPT,91
Laurie Leach,Tutoring,77
Candace Reed,Tutoring,61
Michael Phelps,Self-Study,72
Laura Hughes,Self-Study,85
John Norman,Tutoring,71
Gordon Abbott,ChatGPT,74
Brian Pierce,Group Study,84
Christopher French,Tutoring,84
Diane Mueller,Group Study,79
Diane Lopez,Tutoring,77
Scott Haynes,ChatGPT,71
Sara Velasquez,ChatGPT,61
Christopher Barton,Tutoring,74
Christopher Pittman,Tutoring,79
Jacob Macias,Self-Study,91
Susan Miller,Self-Study,67
Duane Montgomery,Group Study,74
Melanie Lee,Group Study,76
Brittany Scott DVM,ChatGPT,70
Erin Brewer,Self-Study,80
Mercedes York,ChatGPT,82
William Schneider,Group Study,75
Jillian Jordan,Tutoring,87
Janet Lamb,Group Study,87
Robert Jones,Tutoring,66
David Smith,Tutoring,67
Zachary Johnson,Tutoring,77
Melissa Robinson,ChatGPT,85
Anthony Vang,Tutoring,81
Christopher Simon,ChatGPT,86
Jill Wise,Tutoring,77
Amy Romero,ChatGPT,78
Luke Galvan,Group Study,81
Melinda Fernandez,ChatGPT,78
Lauren Lara,Self-Study,67
Peter Hart,Group Study,72
Annette Dennis,ChatGPT,79
John Melendez,Self-Study,80
Cynthia Coleman,Self-Study,60
Nathaniel Guzman,ChatGPT,80
Leah Brown,Tutoring,88
Brett Marsh,Group Study,55
Adrienne Walsh,Self-Study,62
Sarah Hart,Tutoring,83
Dr. Lisa Morgan,ChatGPT,59
Bradley Gomez,Self-Study,83
Kiara Burns,ChatGPT,70
Jason Phelps,Self-Study,71
Brenda Weiss,ChatGPT,94
Nathaniel Mcdonald,Tutoring,76
Courtney Gray,ChatGPT,56
Cameron Sanders,ChatGPT,76
John Barrett,Group Study,92
Edward Evans,ChatGPT,74
Sharon Lynch,ChatGPT,74
Kristine Burton,ChatGPT,88
Stacy Harper,Group Study,59
Darryl Burns,Group Study,55
Amy Heath,ChatGPT,77
Vanessa Wilson,Self-Study,86
Javier Velasquez,Tutoring,65
Lori Rios,Tutoring,71
Katie Guerrero,Group Study,80
Sarah Vasquez,Self-Study,81
Alexandra Bernard,Group Study,77
Tiffany Mercer,Tutoring,77
Amanda Robinson,Tutoring,77
Emma Hood,Group Study,68
Tiffany Green,Tutoring,55
Stacy Goodman,Group Study,74
Justin Thomas,Self-Study,71
Sabrina Hunt,Self-Study,85
Elizabeth Collins,Tutoring,93
Michael Parrish,Self-Study,69
Maria White,Self-Study,73
Raymond Edwards,Tutoring,72
Sara Mitchell,Group Study,66
Hannah Harris,Group Study,55
Kathleen Russell,ChatGPT,82
Matthew Richardson,ChatGPT,72
Brendan Wilson,ChatGPT,85
Nathan Lane,Self-Study,84
Jose Valenzuela,Self-Study,60
Tyler Beck,ChatGPT,76
Leslie Weber,Group Study,85
Miguel Young,Tutoring,82
