Student_Name,Study_Method,Test_Score
Eric Norton,ChatGPT,70
Alicia Stone,ChatGPT,71
Dawn Rivera,ChatGPT,75
Lisa Spence,ChatGPT,71
Nicole Yoder,ChatGPT,68
Zoe Montes,ChatGPT,70
Jennifer Lang,ChatGPT,65
Marisa Gibbs,ChatGPT,70
Shane Freeman,ChatGPT,62
Bryan Wolfe,ChatGPT,74
Kimberly Rodriguez,ChatGPT,67
Tina Thornton,ChatGPT,69
Elizabeth Parrish,ChatGPT,71
Jonathan Reynolds,ChatGPT,62
Joel Flynn,ChatGPT,75
Jeffrey Thomas,ChatGPT,78
Jaclyn Hernandez,ChatGPT,69
Deborah Werner,ChatGPT,71
Lauren Martin,ChatGPT,72
Joseph Lloyd,ChatGPT,67
Colleen Berg,ChatGPT,73
Brett Cunningham,ChatGPT,81
Taylor Rivera,ChatGPT,74
Ellen James,ChatGPT,70
Joseph Foster,ChatGPT,79
Regina Baker,ChatGPT,66
Maria Young,ChatGPT,69
James Holmes,ChatGPT,71
Joseph Coleman,ChatGPT,64
Michelle Parker,ChatGPT,68
Michelle Taylor,ChatGPT,70
Charles Phillips,ChatGPT,72
Christopher Weiss,ChatGPT,71
Peter Harris,ChatGPT,76
Joshua Lopez,ChatGPT,61
Derek Herrera,ChatGPT,77
Martin Lopez,ChatGPT,81
Gloria Alvarez,ChatGPT,81
Lindsay Fleming,ChatGPT,71
Jennifer Young,ChatGPT,71
Dennis Alexander,ChatGPT,67
Shelly Baker,ChatGPT,65
Jerry Perez,ChatGPT,58
Michael Reynolds,ChatGPT,64
Jeffrey Russell,ChatGPT,71
Travis Guzman,ChatGPT,76
Derrick Owens,ChatGPT,72
Jordan Owen,ChatGPT,65
Michael Williams,ChatGPT,68
Valerie Guerrero,ChatGPT,70
Joel Koch,ChatGPT,72
Jamie Oliver,ChatGPT,66
Lynn Russo,ChatGPT,66
Emily Smith,ChatGPT,74
Bruce Cabrera,ChatGPT,80
Wanda Turner,ChatGPT,76
Rebecca Hall,ChatGPT,79
